week,region,country,admin1,event_type,sub_event_type,events,fatalities,population_exposure,disorder_type,centroid_latitude,centroid_longitude
2001-08-25,"Eastern Africa",Burundi,Rumonge,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.875,29.470
2001-08-25,"Middle Africa","Democratic Republic of Congo",Sud-Kivu,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.297,28.167
2001-09-01,"Western Africa","Sierra Leone",Eastern,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",8.205,-10.844
2001-09-01,"Eastern Africa",Somalia,Banadir,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",2.088,45.393
2001-09-15,"Southern Africa",Namibia,"Kavango East","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-18.476,20.308
2001-09-15,"Western Africa","Sierra Leone",Eastern,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",8.205,-10.844
2001-09-29,"Western Africa","Sierra Leone",Eastern,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",8.205,-10.844
2001-10-06,"Middle Africa",Angola,"Cuanza Norte","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-8.859,15.096
2001-10-06,"Eastern Africa",Burundi,"Bujumbura Mairie","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.394,29.367
2001-10-06,"Eastern Africa",Burundi,Kayanza,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.009,29.662
2001-10-06,"Southern Africa",Namibia,"Kavango West","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-18.362,18.776
2001-10-27,"Northern Africa",Sudan,"Bahr el Ghazal","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",8.598,28.474
2001-11-03,"Eastern Africa",Burundi,Kayanza,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.009,29.662
2001-11-03,"Eastern Africa",Burundi,Ruyigi,"Violence against civilians","Abduction/forced disappearance",2,0,0,"Political violence",-3.461,30.344
2001-11-10,"Eastern Africa",Burundi,Cankuzo,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.144,30.591
2001-11-10,"Eastern Africa",Burundi,Karuzi,"Violence against civilians","Abduction/forced disappearance",2,0,0,"Political violence",-3.149,30.079
2001-11-10,"Southern Africa",Zimbabwe,"Mashonaland West","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-17.260,29.868
2001-11-17,"Eastern Africa",Burundi,Bubanza,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.118,29.399
2001-11-17,"Eastern Africa",Burundi,Karuzi,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.149,30.079
2001-12-08,"Eastern Africa",Burundi,Rumonge,"Violence against civilians","Abduction/forced disappearance",2,0,0,"Political violence",-3.875,29.470
2001-12-08,"Eastern Africa",Burundi,Ruyigi,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.461,30.344
2002-01-05,"Southern Africa",Zimbabwe,Harare,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-17.855,31.052
2002-01-05,"Southern Africa",Zimbabwe,Manicaland,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-19.286,32.070
2002-01-12,"Southern Africa",Zimbabwe,Harare,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-17.855,31.052
2002-01-12,"Southern Africa",Zimbabwe,Manicaland,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-19.286,32.070
2002-01-12,"Southern Africa",Zimbabwe,"Mashonaland Central","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-16.681,31.610
2002-01-12,"Southern Africa",Zimbabwe,Midlands,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-19.082,29.862
2002-01-19,"Eastern Africa",Burundi,Rutana,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-3.865,30.093
2002-01-19,"Middle Africa","Democratic Republic of Congo",Maniema,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-2.498,25.953
2002-01-19,"Eastern Africa",Malawi,Central,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-13.747,33.709
2002-01-26,"Southern Africa",Zimbabwe,Bulawayo,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-20.106,28.535
2002-01-26,"Southern Africa",Zimbabwe,Manicaland,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-19.286,32.070
2002-01-26,"Southern Africa",Zimbabwe,"Mashonaland West","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-17.260,29.868
2002-01-26,"Southern Africa",Zimbabwe,Midlands,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-19.082,29.862
2002-02-02,"Southern Africa",Zimbabwe,Manicaland,"Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-19.286,32.070
2002-02-02,"Southern Africa",Zimbabwe,"Mashonaland Central","Violence against civilians","Abduction/forced disappearance",1,0,0,"Political violence",-16.681,31.610
