"ID Caso","Código DANE de Municipio","Municipio","Departamento","Año","Mes","Día","ID Persona","Sexo","Etnia","Ocupación","Calidad de la Víctima o la Baja","Tipo de Población Vulnerable","Militante Político","Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente","Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente","Situación Actual de la Víctima","Fuente de Información de la Desaparición","Edad","latitud-longitud"
"1,002,083","52356","IPIALES","NARIÑO","2,025","4","2","1,022,442","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-77.240476252 0.497708465)"
"1,002,083","52356","IPIALES","NARIÑO","2,025","4","2","1,022,443","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-77.24047625 0.497708465)"
"1,002,083","52356","IPIALES","NARIÑO","2,025","4","2","1,022,444","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-77.24047625 0.497708465)"
"1,002,083","52356","IPIALES","NARIÑO","2,025","4","2","1,022,446","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-77.24047625 0.497708465)"
"1,002,083","52356","IPIALES","NARIÑO","2,025","4","2","1,022,447","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-77.24047625 0.497708465)"
"1,002,083","52356","IPIALES","NARIÑO","2,025","4","2","1,022,448","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-77.24047625 0.497708465)"
"1,002,083","52356","IPIALES","NARIÑO","2,025","4","2","1,022,449","HOMBRE","INDÍGENA","SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-77.24047625 0.497708465)"
"1,002,083","52356","IPIALES","NARIÑO","2,025","4","2","1,022,450","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-77.24047625 0.497708465)"
"1,002,197","85010","AGUAZUL","CASANARE","2,006","12","1","1,022,572","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO",,,"POINT (-72.54821017 5.126121886)"
"1,002,198","76364","JAMUNDI","VALLE DEL CAUCA","1,996","11","11","1,022,573","HOMBRE",,"SEGURIDAD PRIVADA","CIVIL","EXMILITAR",,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.62760418 3.213892389)"
"1,002,199","76563","PRADERA","VALLE DEL CAUCA","2,001","3","1","1,022,574","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-76.17841841 3.42063665)"
"1,002,200","76828","TRUJILLO","VALLE DEL CAUCA","2,011","3","8","1,022,575","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.34292699 4.233268116)"
"1,002,201","68573","PUERTO PARRA","SANTANDER","2,001","8","5","1,022,576","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-73.95761256 6.685278856)"
"1,002,203","54810","TIBU","NORTE DE SANTANDER","2,002","0","0","1,022,578","HOMBRE",,"EMPLEADO","CIVIL",,,,,"DESAPARECIDO",,"PERSONA MAYOR (60 AÑOS O MAS)","POINT (-72.89972106 8.998278492)"
"1,002,204","54206","CONVENCION","NORTE DE SANTANDER","2,003","7","18","1,022,580","HOMBRE",,"TRABAJADOR DE FINCA","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-73.33720845 8.470368933)"
"1,002,205","54250","EL TARRA","NORTE DE SANTANDER","2,002","3","16","1,022,581","SIN INFORMACION",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-73.0317597 8.678263671)"
"1,002,206","76563","PRADERA","VALLE DEL CAUCA","1,985","8","1","1,022,582","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"CONTINÚA SECUESTRADO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.20371387 3.40838273)"
"1,002,220","27372","JURADO","CHOCO","2,025","3","3","1,022,600","HOMBRE",,"SIN INFORMACIÓN","CIVIL","LÍDER COMUNITARIO",,,,"APARECIÓ MUERTO",,,"POINT (-77.67973662 7.103338868)"
"1,002,227","95015","CALAMAR","GUAVIARE","2,025","4","4","1,022,607","HOMBRE",,"SIN INFORMACIÓN","CIVIL","LÍDER COMUNITARIO",,,,"APARECIÓ MUERTO",,,"POINT (-73.0342639 1.613634284)"
"1,002,227","95015","CALAMAR","GUAVIARE","2,025","4","4","1,022,608","HOMBRE",,"SIN INFORMACIÓN","CIVIL","LÍDER COMUNITARIO",,,,"APARECIÓ MUERTO",,,"POINT (-73.0342639 1.613634284)"
"1,002,227","95015","CALAMAR","GUAVIARE","2,025","4","4","1,022,609","MUJER",,"SIN INFORMACIÓN","CIVIL","LÍDER COMUNITARIO",,,,"APARECIÓ MUERTO",,,"POINT (-73.0342639 1.613634284)"
"1,002,227","95015","CALAMAR","GUAVIARE","2,025","4","4","1,022,611","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO",,,"POINT (-73.0342639 1.613634284)"
"1,002,227","95015","CALAMAR","GUAVIARE","2,025","4","4","1,022,612","MUJER",,"SIN INFORMACIÓN","CIVIL","LÍDER COMUNITARIO",,,,"APARECIÓ MUERTO",,,"POINT (-73.0342639 1.613634284)"
"1,002,227","95015","CALAMAR","GUAVIARE","2,025","4","4","1,022,613","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"APARECIÓ MUERTO",,,"POINT (-73.0342639 1.613634284)"
"1,002,227","95015","CALAMAR","GUAVIARE","2,025","4","4","1,022,614","HOMBRE",,"SIN INFORMACIÓN","CIVIL","MIEMBRO DE COMUNIDAD RELIGIOSA",,,,"APARECIÓ MUERTO",,,"POINT (-73.0342639 1.613634284)"
"1,002,227","95015","CALAMAR","GUAVIARE","2,025","4","4","1,022,615","HOMBRE",,"OTRA","CIVIL","LÍDER COMUNITARIO",,,,"APARECIÓ MUERTO",,,"POINT (-73.0342639 1.613634284)"
"100,265","25368","JERUSALEN","CUNDINAMARCA","1,991","5","25","72,226","HOMBRE",,"PERSONAL DE SALUD","CIVIL","MAESTRO O EDUCADOR",,,,"APARECIÓ MUERTO",,,"POINT (-74.68915854 4.571350254)"
"100,282","25386","LA MESA","CUNDINAMARCA","2,004","12","2","129,425","HOMBRE",,"EMPLEADO","CIVIL",,,,,"APARECIÓ MUERTO","ENTIDAD PÚBLICA","ADULTEZ (29-59 AÑOS)","POINT (-74.47321717 4.650773167)"
"1,012,297","44090","DIBULLA","LA GUAJIRA","2,024","6","20","1,022,674","HOMBRE",,"DELINCUENTE","CIVIL",,,,,"APARECIÓ MUERTO","ONG","ADULTEZ (29-59 AÑOS)","POINT (-73.55886647 11.24414608)"
"1,012,372","19698","SANTANDER DE QUILICHAO","CAUCA","2,024","5","3","1,022,743","HOMBRE","INDÍGENA","ESTUDIANTE","CIVIL",,,,,"SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN",,,"POINT (-76.485082 3.01517)"
"1,012,372","19698","SANTANDER DE QUILICHAO","CAUCA","2,024","5","3","1,022,744","HOMBRE","INDÍGENA","ESTUDIANTE","CIVIL",,,,,"SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN",,,"POINT (-76.485082 3.01517)"
"1,012,372","19698","SANTANDER DE QUILICHAO","CAUCA","2,024","5","3","1,022,745","HOMBRE","INDÍGENA","ESTUDIANTE","CIVIL",,,,,"SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN",,,"POINT (-76.485082 3.01517)"
"1,012,372","19698","SANTANDER DE QUILICHAO","CAUCA","2,024","5","3","1,022,746","HOMBRE","INDÍGENA","ESTUDIANTE","CIVIL",,,,,"SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN",,,"POINT (-76.485082 3.01517)"
"1,012,534","11001","BOGOTA, D.C.","BOGOTA, D. C.","1,981","7","21","1,022,966","HOMBRE",,"FUERZA PÚBLICA","COMBATIENTE",,,"AGENTE DEL ESTADO","EJÉRCITO NACIONAL","DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-74.1810727 4.316107698)"
"1,012,536","76563","PRADERA","VALLE DEL CAUCA","2,011","7","15","1,022,968","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"PERSONA MAYOR (60 AÑOS O MAS)","POINT (-76.24182023 3.419827409)"
"1,012,538","52835","SAN ANDRES DE TUMACO","NARIÑO","2,008","6","23","1,022,970","MUJER",,"EMPLEADO","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-78.51932414 1.391338112)"
"1,012,540","54810","TIBU","NORTE DE SANTANDER","1,999","8","5","1,022,971","HOMBRE",,"TRABAJO SIN ESPECIFICAR","CIVIL",,,,,"APARECIÓ MUERTO",,,"POINT (-72.63970363 8.490516113)"
"1,012,540","54810","TIBU","NORTE DE SANTANDER","1,999","8","5","1,022,972","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN","FAMILIARES O COMUNIDAD",,"POINT (-72.63970363 8.490516113)"
"1,012,546","76622","ROLDANILLO","VALLE DEL CAUCA","2,001","3","1","1,022,999","MUJER",,"ESTUDIANTE","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.16824249 4.443571848)"
"1,012,547","95001","SAN JOSE DEL GUAVIARE","GUAVIARE","2,002","12","27","1,022,998","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-71.91916993 2.484286091)"
"1,012,553","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,000","2","1","1,022,987","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-76.57649259 3.399043723)"
"1,012,556","76248","EL CERRITO","VALLE DEL CAUCA","2,006","11","15","1,022,990","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.30841784 3.656072873)"
"1,012,558","76364","JAMUNDI","VALLE DEL CAUCA","2,014","10","26","1,022,992","MUJER",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADOLESCENCIA (12-17 AÑOS)","POINT (-76.62760418 3.213892389)"
"1,012,558","76364","JAMUNDI","VALLE DEL CAUCA","2,014","10","26","1,022,993","MUJER",,"EMPLEADO","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.62760418 3.213892389)"
"1,012,560","76364","JAMUNDI","VALLE DEL CAUCA","2,010","1","17","1,022,995","SIN INFORMACION",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.62760418 3.213892389)"
"1,012,561","86001","MOCOA","PUTUMAYO","2,007","10","11","1,022,996","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.66584349 1.26070915)"
"1,012,564","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","1,991","5","22","1,023,002","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"PERSONA MAYOR (60 AÑOS O MAS)","POINT (-76.57649259 3.399043723)"
"1,012,565","23807","TIERRALTA","CORDOBA","2,024","4","0","1,023,003","MUJER","INDÍGENA","OTRA","CIVIL","LÍDER INDÍGENA",,,,"APARECIÓ MUERTO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.16846678 7.813896829)"
"1,012,577","76001","SANTIAGO DE CALI","VALLE DEL CAUCA","2,005","7","13","1,023,021","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"ADULTEZ (29-59 AÑOS)","POINT (-76.57649259 3.399043723)"
"1,012,579","76100","BOLIVAR","VALLE DEL CAUCA","2,001","2","26","1,023,022","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,"JUVENTUD (18-28 AÑOS)","POINT (-76.34982039 4.393118861)"
"1,012,579","76100","BOLIVAR","VALLE DEL CAUCA","2,001","2","26","1,023,023","HOMBRE",,"SIN INFORMACIÓN","CIVIL",,,,,"DESAPARECIDO",,,"POINT (-76.34982039 4.393118861)"
